implementation	objective	acquisition	trial	gap_estimate	gap_se
BoTorch	gp	kg	20	0.8018837827444076	0.01582068458538504
BoTorch	gp	kg	21	0.8099053329229355	0.015707253979872392
BoTorch	gp	kg	22	0.8249424213171005	0.015231997840477952
BoTorch	gp	kg	23	0.8321956411004067	0.014465995641122161
BoTorch	gp	kg	24	0.8408785483241081	0.014232435160734516
BoTorch	gp	kg	25	0.8518070363998413	0.013476759371351779
BoTorch	gp	kg	26	0.857001086473465	0.013347306393992578
BoTorch	gp	kg	27	0.8721413558721542	0.012247854940193923
BoTorch	gp	kg	28	0.8866110616922378	0.011697695371521332
BoTorch	gp	kg	29	0.8897034287452698	0.011545128120161487
BoTorch	ros	kg	0	0.8174153310060501	0.029044149920061345
BoTorch	ros	kg	1	0.8952656266838313	0.021949807767720392
BoTorch	ros	kg	2	0.925541504099965	0.018688940394436002
BoTorch	ros	kg	3	0.9321927417069673	0.018193617031710414
BoTorch	ros	kg	4	0.948531541004777	0.014459154197569529
BoTorch	ros	kg	5	0.9526136199384928	0.014258543333008392
BoTorch	ros	kg	6	0.9537908992916345	0.014221937955673985
BoTorch	ros	kg	7	0.9548709086328745	0.014219345774604297
BoTorch	ros	kg	8	0.9551012948900461	0.014221640834920914
BoTorch	ros	kg	9	0.9590247813612223	0.01382354548425178
BoTorch	ros	kg	10	0.9610367158800364	0.013794480362169065
BoTorch	ros	kg	11	0.9612418798357248	0.013779247500410444
BoTorch	ros	kg	12	0.961383011713624	0.01378232990790684
BoTorch	ros	kg	13	0.9617980114370585	0.013737837198734452
BoTorch	ros	kg	14	0.9619340697675943	0.013740961849974804
BoTorch	ros	kg	15	0.9620197132974863	0.013742648692340261
BoTorch	ros	kg	16	0.9620891866832971	0.013743484665267074
BoTorch	ros	kg	17	0.9630973330885172	0.013684921663869535
BoTorch	ros	kg	18	0.9631512723118066	0.013686168822023967
BoTorch	ros	kg	19	0.9653728703409433	0.013542727548944491
BoTorch	ros	kg	20	0.9667596475034952	0.01349528995145954
BoTorch	ros	kg	21	0.9668969575315713	0.01349827389659788
BoTorch	ros	kg	22	0.9684391120821237	0.01334449009767138
BoTorch	ros	kg	23	0.9728065550327301	0.01106952560305639
BoTorch	ros	kg	24	0.9728766065835953	0.011070153159372268
BoTorch	ros	kg	25	0.9730488687753678	0.011072018781566422
BoTorch	ros	kg	26	0.9738279002904892	0.011012726302890023
BoTorch	ros	kg	27	0.9739604765176773	0.011014708782336506
BoTorch	ros	kg	28	0.9740391862392426	0.011016143585845316
BoTorch	ros	kg	29	0.974060395359993	0.011016550233980233
BoTorch	h6	lpi	0	0.2554730510292575	0.019301570241466462
BoTorch	h6	lpi	1	0.25800206018437166	0.019247133006042978
BoTorch	h6	lpi	2	0.33480873946100476	0.020465817569380772
BoTorch	h6	lpi	3	0.40466044683009383	0.02121681011368242
BoTorch	h6	lpi	4	0.4634021257981658	0.022222061222685618
BoTorch	h6	lpi	5	0.5306949046254158	0.022008832847106696
BoTorch	h6	lpi	6	0.5742438223958015	0.020725584380982723
BoTorch	h6	lpi	7	0.6013195183873177	0.020625621045571432
BoTorch	h6	lpi	8	0.6370092609524727	0.018878766865392683
BoTorch	h6	lpi	9	0.6504488053917885	0.018074752315840475
BoTorch	h6	lpi	10	0.6660416188836098	0.017380317486100534
BoTorch	h6	lpi	11	0.6751681020855904	0.016774582080702927
BoTorch	h6	lpi	12	0.6802160075306892	0.016336348313420408
BoTorch	h6	lpi	13	0.686765122115612	0.01629098132351263
BoTorch	h6	lpi	14	0.6944422206282616	0.015708239226796747
BoTorch	h6	lpi	15	0.7058765906095504	0.015207221172121399
BoTorch	h6	lpi	16	0.7092408207058907	0.01503532277598485
BoTorch	h6	lpi	17	0.719210758805275	0.014589398759660078
BoTorch	h6	lpi	18	0.722215216755867	0.014601045348036804
BoTorch	h6	lpi	19	0.7226808631420135	0.014615476709009523
BoTorch	h6	lpi	20	0.7232726281881332	0.014613976518532057
BoTorch	h6	lpi	21	0.7302499026060104	0.014047069841831928
BoTorch	h6	lpi	22	0.7330821561813354	0.013526936862412775
BoTorch	h6	lpi	23	0.7342359709739685	0.013493230618510927
BoTorch	h6	lpi	24	0.7356662160158157	0.013417246485755863
BoTorch	h6	lpi	25	0.7356662160158157	0.013417246485755863
BoTorch	h6	lpi	26	0.7375752371549607	0.013528231785139778
BoTorch	h6	lpi	27	0.741759424507618	0.013295162266639094
BoTorch	h6	lpi	28	0.741759424507618	0.013295162266639094
BoTorch	h6	lpi	29	0.741759424507618	0.013295162266639094
BoTorch	gp	lpi	0	0.3937583008687943	0.025775820769364337
BoTorch	gp	lpi	1	0.4105132922460325	0.024806572052453464
BoTorch	gp	lpi	2	0.5023218500730582	0.02423542683167563
BoTorch	gp	lpi	3	0.555233278311789	0.024010432276977633
BoTorch	gp	lpi	4	0.577668976765126	0.023604686734389407
BoTorch	gp	lpi	5	0.6001876257918775	0.023786741145541593
BoTorch	gp	lpi	6	0.6213709019683301	0.023482303097629616
BoTorch	gp	lpi	7	0.6351810463890434	0.022900700015520838
BoTorch	gp	lpi	8	0.6655095117911697	0.021330181121898495
BoTorch	gp	lpi	9	0.6876100493967533	0.019369745288153172
BoTorch	gp	lpi	10	0.7022467315196991	0.019309204787079124
BoTorch	gp	lpi	11	0.71950942248106	0.01863410888937156
BoTorch	gp	lpi	12	0.7210777720808983	0.018700127116310354
BoTorch	gp	lpi	13	0.7289911514520645	0.0184811663034312
BoTorch	gp	lpi	14	0.7394864609837533	0.017580030249791885
BoTorch	gp	lpi	15	0.7465513572096825	0.0177647543238408
BoTorch	gp	lpi	16	0.7602290108799934	0.017025228122227044
BoTorch	gp	lpi	17	0.7760813176631928	0.015561442305247471
BoTorch	gp	lpi	18	0.7795659053325653	0.015780496866436698
BoTorch	gp	lpi	19	0.7849996250867843	0.01570624351809983
BoTorch	gp	lpi	20	0.7890645137429237	0.015789709359101102
BoTorch	gp	lpi	21	0.8029714384675026	0.015426989666910872
BoTorch	gp	lpi	22	0.8072145694494247	0.015422472968132376
BoTorch	gp	lpi	23	0.8112004053592682	0.014909993536725513
BoTorch	gp	lpi	24	0.8147050923109055	0.01498270846867498
BoTorch	gp	lpi	25	0.8178525638580322	0.01483473423987885
BoTorch	gp	lpi	26	0.8264562720060349	0.014249133017035818
BoTorch	gp	lpi	27	0.8283315989375114	0.013892409076386775
BoTorch	gp	lpi	28	0.8302557006478309	0.013804811928109475
BoTorch	gp	lpi	29	0.8302557006478309	0.013804811928109475
BoTorch	ros	lpi	0	0.8203294163942337	0.028103361243321117
BoTorch	ros	lpi	1	0.8375827245344408	0.02616587376520907
BoTorch	ros	lpi	2	0.9101122850179673	0.017673350613932264
BoTorch	ros	lpi	3	0.937461045384407	0.014510792652541807
BoTorch	ros	lpi	4	0.9416123473644257	0.014155882825179706
BoTorch	ros	lpi	5	0.943299327492714	0.014016788539144181
BoTorch	ros	lpi	6	0.9443758243322372	0.014043505196094635
BoTorch	ros	lpi	7	0.9538104754686355	0.013184753536799773
BoTorch	ros	lpi	8	0.957615214586258	0.012897586040704253
BoTorch	ros	lpi	9	0.9604702877998352	0.012782810084809169
BoTorch	ros	lpi	10	0.9607496082782745	0.012788437266826427
BoTorch	ros	lpi	11	0.9628281956911087	0.012346630021887755
BoTorch	ros	lpi	12	0.9631610697507859	0.012353668484676714
BoTorch	ros	lpi	13	0.9634506177902221	0.012359643044471829
BoTorch	ros	lpi	14	0.963876171708107	0.012361159992280274
BoTorch	ros	lpi	15	0.9639354199171066	0.012360876141769044
BoTorch	ros	lpi	16	0.9646216106414794	0.012347162395698469
BoTorch	ros	lpi	17	0.9658484035730361	0.012133910975101653
BoTorch	ros	lpi	18	0.9659466689825058	0.01213601012858328
BoTorch	ros	lpi	19	0.9664548546075821	0.012139257677419326
BoTorch	ros	lpi	20	0.9664548546075821	0.012139257677419326
BoTorch	ros	lpi	21	0.9672586917877197	0.012110348660411987
BoTorch	ros	lpi	22	0.9673400467634201	0.012109683665797446
BoTorch	ros	lpi	23	0.9675101512670516	0.012113455690168914
BoTorch	ros	lpi	24	0.9675101512670516	0.012113455690168914
BoTorch	ros	lpi	25	0.9675502097606659	0.01211433753386402
BoTorch	ros	lpi	26	0.9675502097606659	0.01211433753386402
BoTorch	ros	lpi	27	0.9680541467666626	0.012114334309401356
BoTorch	ros	lpi	28	0.9680629849433899	0.012114536606178537
BoTorch	ros	lpi	29	0.9683057641983033	0.01211012790438606
BoTorch	h6	random	0	0.2634147897176444	0.01929896122873314
BoTorch	h6	random	1	0.2848011237941682	0.02050142509986151
BoTorch	h6	random	2	0.29905554596334694	0.021965374232784197
BoTorch	h6	random	3	0.3163099877908826	0.0217831585732915
BoTorch	h6	random	4	0.3360445823334157	0.021660052135637837
BoTorch	h6	random	5	0.34981887830421327	0.022124400348118994
BoTorch	h6	random	6	0.3591554036177695	0.02190492587732665
BoTorch	h6	random	7	0.3630271869339049	0.021633018381969942
BoTorch	h6	random	8	0.3704177234880626	0.021493903693355902
BoTorch	h6	random	9	0.3736149122752249	0.021408754031627165
BoTorch	h6	random	10	0.38046713480725886	0.021410942582736996
BoTorch	h6	random	11	0.3860904145054519	0.021308925305987787
BoTorch	h6	random	12	0.3898212128691375	0.021299186891117563
BoTorch	h6	random	13	0.4002095574140549	0.020743128415689777
BoTorch	h6	random	14	0.40559436768293383	0.02062447713996731
BoTorch	h6	random	15	0.4101366755366325	0.02030651313586932
BoTorch	h6	random	16	0.41082896254956724	0.020290142413184227
BoTorch	h6	random	17	0.4135399580746889	0.02021094602786329
BoTorch	h6	random	18	0.41876383401453493	0.020348069181764454
BoTorch	h6	random	19	0.4240835049748421	0.019794421327859628
BoTorch	h6	random	20	0.427289200797677	0.019492061205873143
BoTorch	h6	random	21	0.429949389770627	0.019548294191384197
BoTorch	h6	random	22	0.43197103597223757	0.01937305781713867
BoTorch	h6	random	23	0.43197103597223757	0.01937305781713867
BoTorch	h6	random	24	0.44113660015165806	0.019336405763842143
BoTorch	h6	random	25	0.447166503444314	0.018960720403032226
BoTorch	h6	random	26	0.4574450124800205	0.018638323558597906
BoTorch	h6	random	27	0.45913843885064126	0.018487041454619657
BoTorch	h6	random	28	0.46046275809407233	0.018549077405054855
BoTorch	h6	random	29	0.46057959720492364	0.018551878000117893
BoTorch	gp	random	0	0.396377144344151	0.023192263464387287
BoTorch	gp	random	1	0.41736687380820514	0.023565063501144814
BoTorch	gp	random	2	0.4449512395635247	0.023595926426101987
BoTorch	gp	random	3	0.4746472812071443	0.02336369988665781
BoTorch	gp	random	4	0.4833380483090878	0.022953518783219305
BoTorch	gp	random	5	0.49227690786123274	0.02311808033970611
BoTorch	gp	random	6	0.4981867004930973	0.023205445811791063
BoTorch	gp	random	7	0.5083777421712875	0.02279857892287663
BoTorch	gp	random	8	0.5181162875145674	0.02251368427603645
BoTorch	gp	random	9	0.5256869601458312	0.022619046897565213
BoTorch	gp	random	10	0.5359366174787283	0.023022268511878875
BoTorch	gp	random	11	0.5551763456314802	0.023116850163682832
BoTorch	gp	random	12	0.5587008892744779	0.023085178827208903
BoTorch	gp	random	13	0.5806917989999056	0.021511799527036343
BoTorch	gp	random	14	0.5849064598232507	0.021363795442149076
BoTorch	gp	random	15	0.5947088301926852	0.021239550076262485
BoTorch	gp	random	16	0.6011395949870348	0.02097798052719945
BoTorch	gp	random	17	0.6016640359908343	0.02097427691730969
BoTorch	gp	random	18	0.6105334915965795	0.020424878566522253
BoTorch	gp	random	19	0.617493206486106	0.020975844016695253
BoTorch	gp	random	20	0.6273237859457731	0.020029958969945125
BoTorch	gp	random	21	0.6288679832220078	0.019675999881661854
BoTorch	gp	random	22	0.629161337018013	0.01967101192946436
BoTorch	gp	random	23	0.6297595548629761	0.019745119700252844
BoTorch	gp	random	24	0.6325761711597443	0.019852298329099852
BoTorch	gp	random	25	0.6374679392576218	0.020062036432769256
BoTorch	gp	random	26	0.6432820922136306	0.02019844763312568
BoTorch	gp	random	27	0.6433150780200958	0.020195877150990155
BoTorch	gp	random	28	0.6489470851421356	0.019268742195394116
BoTorch	gp	random	29	0.6494839400053024	0.01928725819510445
BoTorch	ros	random	0	0.785469406247139	0.030194032043892583
BoTorch	ros	random	1	0.8068250034749508	0.02870785145453711
BoTorch	ros	random	2	0.813004804700613	0.028843553704045954
BoTorch	ros	random	3	0.8224262164533138	0.02890892483196799
BoTorch	ros	random	4	0.8246569695696234	0.02885535275550553
BoTorch	ros	random	5	0.8304501780495047	0.028947630857201218
BoTorch	ros	random	6	0.8314946195110678	0.028975653471569822
BoTorch	ros	random	7	0.8354530927166343	0.028340568635170305
BoTorch	ros	random	8	0.8396268394216895	0.028254255847135683
BoTorch	ros	random	9	0.8456334190070629	0.0275636668806958
BoTorch	ros	random	10	0.851763623803854	0.026846928501891455
BoTorch	ros	random	11	0.8686520747840405	0.02492015221687195
BoTorch	ros	random	12	0.8696196316182614	0.024899953944569668
BoTorch	ros	random	13	0.871842210739851	0.024900260221214037
BoTorch	ros	random	14	0.8733752523362637	0.02491501426233869
BoTorch	ros	random	15	0.8750566504895687	0.024942244792892056
BoTorch	ros	random	16	0.8791890911757946	0.02395567039598074
BoTorch	ros	random	17	0.8833183811604977	0.02379949188064915
BoTorch	ros	random	18	0.8848362205922604	0.0236894732040081
BoTorch	ros	random	19	0.8877745638787746	0.02372354051264363
BoTorch	ros	random	20	0.8891829988360405	0.02346796700681497
BoTorch	ros	random	21	0.8932528218626976	0.023335344601747608
BoTorch	ros	random	22	0.8932528218626976	0.023335344601747608
BoTorch	ros	random	23	0.8994314651191234	0.02200044106178406
BoTorch	ros	random	24	0.8994314651191234	0.02200044106178406
BoTorch	ros	random	25	0.8997583113610744	0.022011077262003437
BoTorch	ros	random	26	0.9029748855531216	0.021264636346281632
BoTorch	ros	random	27	0.9033380584418773	0.021279237702044818
BoTorch	ros	random	28	0.9085291682183743	0.019877061830674926
BoTorch	ros	random	29	0.9092983172833919	0.0198807657395497
